firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,tot_white,tot_black,tot_api,tot_aian,tot_2prace,tot_hispanic,white_pct,black_pct,api_pct,aian_pct,mult_pct,hisp_pct
ADDIE,49,0.020409999999999998,0.6734699999999999,0.26531,0.020409999999999998,0.020409999999999998,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.504975756687154e-5,1.160872040768403e-4,2.2589841058742066e-4,2.2589841058742066e-4,0,5.460418792756708e-6
ADEL,77,0.09090999999999999,0.71429,0.05195,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.508305697291584e-5,3.571995712277842e-5,0,0,0,3.821987398995335e-5
ADELA,122,0.63115,0.28689,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.5962114085953643e-5,0,0,0,0,4.204160477236092e-4
ADELAIDA,44,0.52273,0.13635999999999998,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.736244101596833e-6,0,0,0,0,1.2557898537497568e-4
ADELAIDE,41,0.12195,0.7561,0.12195,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.4137683800553348e-5,4.464782561054859e-5,0,0,0,2.7299364000083897e-5
ADELE,193,0.005180000000000001,0.93782,0.025910000000000002,0,0,0.005180000000000001,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.254522746746441e-5,4.4653897775553275e-5,0,0,2.4198244243034888e-4,5.458507818166957e-6
ADELINA,62,0.62903,0.25806,0.01613,0.01613,0.01613,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,7.296717825342157e-6,8.930190197919022e-6,2.2589163424497388e-4,2.2589163424497388e-4,0,2.129364041825042e-4
ADELINE,66,0.10606,0.65152,0.07576,0,0,0.015149999999999999,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9610418272283322e-5,4.46497008379765e-5,0,0,2.4202116969022526e-4,3.8219273397939434e-5
ADINA,55,0.03636,0.89091,0.05455,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.2346612208067203e-5,2.6791195669566373e-5,0,0,0,1.0918762813101687e-5
ADMIR,15,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.840792675130087e-6,0,0,0,0,0
